MEI File,Title,Mass Title,Section Title,Composer,Composer VIAF,Composer BNF ID,Date of Piece,Editor,Date Last Revised,Source_ID,Source Short Title,Source Title,Source Publisher,Publisher VIAF,Publisher BNF ID,Source Date,Source Reference,Source Location,Source Institution,Source Shelfmark,Rights Statement,Copyright Owner(s),,,
CRIM_Mass_0003_1.mei,Missa O gente brunette: Kyrie,Missa O gente brunette,Kyrie,Nicolas De Marle,https://viaf.org/viaf/44485735,https://data.bnf.fr/ark:/12148/cb13897105h,1568,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0009,"Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. ","Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. Authore D. Nicolao De Marle, puerorum chorialium insignis Ecclesiae Novionensis Moderatore.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1568,"RISM A I, M 711",Paris,Bibliothèque nationale de France,RES VM1-22,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0003_2.mei,Missa O gente brunette: Gloria,Missa O gente brunette,Gloria,Nicolas De Marle,https://viaf.org/viaf/44485735,https://data.bnf.fr/ark:/12148/cb13897105h,1568,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0009,"Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. ","Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. Authore D. Nicolao De Marle, puerorum chorialium insignis Ecclesiae Novionensis Moderatore.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1568,"RISM A I, M 711",Paris,Bibliothèque nationale de France,RES VM1-22,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0003_3.mei,Missa O gente brunette: Credo,Missa O gente brunette,Credo,Nicolas De Marle,https://viaf.org/viaf/44485735,https://data.bnf.fr/ark:/12148/cb13897105h,1568,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0009,"Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. ","Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. Authore D. Nicolao De Marle, puerorum chorialium insignis Ecclesiae Novionensis Moderatore.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1568,"RISM A I, M 711",Paris,Bibliothèque nationale de France,RES VM1-22,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0003_4.mei,Missa O gente brunette: Sanctus,Missa O gente brunette,Sanctus,Nicolas De Marle,https://viaf.org/viaf/44485735,https://data.bnf.fr/ark:/12148/cb13897105h,1568,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0009,"Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. ","Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. Authore D. Nicolao De Marle, puerorum chorialium insignis Ecclesiae Novionensis Moderatore.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1568,"RISM A I, M 711",Paris,Bibliothèque nationale de France,RES VM1-22,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0003_5.mei,Missa O gente brunette: Agnus Dei,Missa O gente brunette,Agnus Dei,Nicolas De Marle,https://viaf.org/viaf/44485735,https://data.bnf.fr/ark:/12148/cb13897105h,1568,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0009,"Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. ","Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. Authore D. Nicolao De Marle, puerorum chorialium insignis Ecclesiae Novionensis Moderatore.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1568,"RISM A I, M 711",Paris,Bibliothèque nationale de France,RES VM1-22,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0004_1.mei,Missa Virginis Mariae: Kyrie,Missa Virginis Mariae,Kyrie,Pierre Clereau,http://viaf.org/viaf/19864891,https://data.bnf.fr/ark:/12148/cb138925778,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0011,"Missa cum quatuor vocibus, Ad imitationem Missae Virginis Mariae, condita. ","Missa cum quatuor vocibus, ad imitationem Missae Virginis Mariae, condita . Nunc primum in lucem edita. Authore D. Petro Cler'eau, quondam pueris symphoniacis Ecclesiae Tulensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, C 3187",Paris,Bibliothèque nationale de France,RES VM1-18,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0004_2.mei,Missa Virginis Mariae: Gloria,Missa Virginis Mariae,Gloria,Pierre Clereau,http://viaf.org/viaf/19864891,https://data.bnf.fr/ark:/12148/cb138925778,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0011,"Missa cum quatuor vocibus, Ad imitationem Missae Virginis Mariae, condita. ","Missa cum quatuor vocibus, ad imitationem Missae Virginis Mariae, condita . Nunc primum in lucem edita. Authore D. Petro Cler'eau, quondam pueris symphoniacis Ecclesiae Tulensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, C 3187",Paris,Bibliothèque nationale de France,RES VM1-18,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0004_3.mei,Missa Virginis Mariae: Credo,Missa Virginis Mariae,Credo,Pierre Clereau,http://viaf.org/viaf/19864891,https://data.bnf.fr/ark:/12148/cb138925778,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0011,"Missa cum quatuor vocibus, Ad imitationem Missae Virginis Mariae, condita. ","Missa cum quatuor vocibus, ad imitationem Missae Virginis Mariae, condita . Nunc primum in lucem edita. Authore D. Petro Cler'eau, quondam pueris symphoniacis Ecclesiae Tulensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, C 3187",Paris,Bibliothèque nationale de France,RES VM1-18,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0004_4.mei,Missa Virginis Mariae: Sanctus,Missa Virginis Mariae,Sanctus,Pierre Clereau,http://viaf.org/viaf/19864891,https://data.bnf.fr/ark:/12148/cb138925778,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0011,"Missa cum quatuor vocibus, Ad imitationem Missae Virginis Mariae, condita. ","Missa cum quatuor vocibus, ad imitationem Missae Virginis Mariae, condita . Nunc primum in lucem edita. Authore D. Petro Cler'eau, quondam pueris symphoniacis Ecclesiae Tulensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, C 3187",Paris,Bibliothèque nationale de France,RES VM1-18,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0004_5.mei,Missa Virginis Mariae: Agnus Dei,Missa Virginis Mariae,Agnus Dei,Pierre Clereau,http://viaf.org/viaf/19864891,https://data.bnf.fr/ark:/12148/cb138925778,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0011,"Missa cum quatuor vocibus, Ad imitationem Missae Virginis Mariae, condita. ","Missa cum quatuor vocibus, ad imitationem Missae Virginis Mariae, condita . Nunc primum in lucem edita. Authore D. Petro Cler'eau, quondam pueris symphoniacis Ecclesiae Tulensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, C 3187",Paris,Bibliothèque nationale de France,RES VM1-18,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0005_1.mei,Missa Ave Maria: Kyrie,Missa Ave Maria,Kyrie,Antoine de Févin,http://viaf.org/viaf/3285407,https://data.bnf.fr/ark:/12148/cb147860063,1515,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0017,Missa Sancta trinitas. Missa Mente tota. Missa Ave Maria. Missa Le vilayn jaloys. Missa quarti toni.,Misse Antonii de Feuin. Sancta trinitas. Mente tota. Aue Maria. Le vilayn ialoys. Roberti de feuin. Quarti toni. Pierzon.,Ottaviano Petrucci,http://viaf.org/viaf/250784303,https://data.bnf.fr/ark:/12148/cb13482403j,1515,"RISM B I, 1515-01",London,The British Library,K.1.d.12,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0005_2.mei,Missa Ave Maria: Gloria,Missa Ave Maria,Gloria,Antoine de Févin,http://viaf.org/viaf/3285407,https://data.bnf.fr/ark:/12148/cb147860063,1515,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0017,Missa Sancta trinitas. Missa Mente tota. Missa Ave Maria. Missa Le vilayn jaloys. Missa quarti toni.,Misse Antonii de Feuin. Sancta trinitas. Mente tota. Aue Maria. Le vilayn ialoys. Roberti de feuin. Quarti toni. Pierzon.,Ottaviano Petrucci,http://viaf.org/viaf/250784303,https://data.bnf.fr/ark:/12148/cb13482403j,1515,"RISM B I, 1515-01",London,The British Library,K.1.d.12,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0005_3.mei,Missa Ave Maria: Credo,Missa Ave Maria,Credo,Antoine de Févin,http://viaf.org/viaf/3285407,https://data.bnf.fr/ark:/12148/cb147860063,1515,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0017,Missa Sancta trinitas. Missa Mente tota. Missa Ave Maria. Missa Le vilayn jaloys. Missa quarti toni.,Misse Antonii de Feuin. Sancta trinitas. Mente tota. Aue Maria. Le vilayn ialoys. Roberti de feuin. Quarti toni. Pierzon.,Ottaviano Petrucci,http://viaf.org/viaf/250784303,https://data.bnf.fr/ark:/12148/cb13482403j,1515,"RISM B I, 1515-01",London,The British Library,K.1.d.12,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0005_4.mei,Missa Ave Maria: Sanctus,Missa Ave Maria,Sanctus,Antoine de Févin,http://viaf.org/viaf/3285407,https://data.bnf.fr/ark:/12148/cb147860063,1515,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0017,Missa Sancta trinitas. Missa Mente tota. Missa Ave Maria. Missa Le vilayn jaloys. Missa quarti toni.,Misse Antonii de Feuin. Sancta trinitas. Mente tota. Aue Maria. Le vilayn ialoys. Roberti de feuin. Quarti toni. Pierzon.,Ottaviano Petrucci,http://viaf.org/viaf/250784303,https://data.bnf.fr/ark:/12148/cb13482403j,1515,"RISM B I, 1515-01",London,The British Library,K.1.d.12,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0005_5.mei,Missa Ave Maria: Agnus Dei,Missa Ave Maria,Agnus Dei,Antoine de Févin,http://viaf.org/viaf/3285407,https://data.bnf.fr/ark:/12148/cb147860063,1515,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0017,Missa Sancta trinitas. Missa Mente tota. Missa Ave Maria. Missa Le vilayn jaloys. Missa quarti toni.,Misse Antonii de Feuin. Sancta trinitas. Mente tota. Aue Maria. Le vilayn ialoys. Roberti de feuin. Quarti toni. Pierzon.,Ottaviano Petrucci,http://viaf.org/viaf/250784303,https://data.bnf.fr/ark:/12148/cb13482403j,1515,"RISM B I, 1515-01",London,The British Library,K.1.d.12,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0006_1.mei,Missa Je suis déshéritée: Kyrie,Missa Je suis Déshéritée,Kyrie,Jean Guyon,http://viaf.org/viaf/51955127,https://data.bnf.fr/ark:/12148/cb148142375,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0019,"Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita.","Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita. Nunc primum in lucem edita. Autore D. Ionne Guyon, Ecclesiae Carnotensis canonico, & pueris symphoniacis praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, G 5172",Paris,Bibliothèque nationale de France,RES VM1-16,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0006_2.mei,Missa Je suis déshéritée: Gloria,Missa Je suis Déshéritée,Gloria,Jean Guyon,http://viaf.org/viaf/51955127,https://data.bnf.fr/ark:/12148/cb148142375,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0019,"Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita.","Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita. Nunc primum in lucem edita. Autore D. Ionne Guyon, Ecclesiae Carnotensis canonico, & pueris symphoniacis praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, G 5172",Paris,Bibliothèque nationale de France,RES VM1-16,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0006_3.mei,Missa Je suis déshéritée: Credo,Missa Je suis Déshéritée,Credo,Jean Guyon,http://viaf.org/viaf/51955127,https://data.bnf.fr/ark:/12148/cb148142375,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0019,"Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita.","Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita. Nunc primum in lucem edita. Autore D. Ionne Guyon, Ecclesiae Carnotensis canonico, & pueris symphoniacis praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, G 5172",Paris,Bibliothèque nationale de France,RES VM1-16,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0006_4.mei,Missa Je suis déshéritée: Sanctus,Missa Je suis Déshéritée,Sanctus,Jean Guyon,http://viaf.org/viaf/51955127,https://data.bnf.fr/ark:/12148/cb148142375,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0019,"Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita.","Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita. Nunc primum in lucem edita. Autore D. Ionne Guyon, Ecclesiae Carnotensis canonico, & pueris symphoniacis praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, G 5172",Paris,Bibliothèque nationale de France,RES VM1-16,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0006_5.mei,Missa Je suis déshéritée: Agnus Dei,Missa Je suis Déshéritée,Agnus Dei,Jean Guyon,http://viaf.org/viaf/51955127,https://data.bnf.fr/ark:/12148/cb148142375,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0019,"Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita.","Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita. Nunc primum in lucem edita. Autore D. Ionne Guyon, Ecclesiae Carnotensis canonico, & pueris symphoniacis praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, G 5172",Paris,Bibliothèque nationale de France,RES VM1-16,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0007_1.mei,Missa Je suis déshéritée: Kyrie,Missa Je suis Déshéritée,Kyrie,Nicolas Gombert,http://viaf.org/viaf/87113257,https://data.bnf.fr/ark:/12148/cb138945919,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0021,"Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée","Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita à D. Nicolao Gombert: Nunc primum in lucem edita.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, G 2976",Paris,Bibliothèque nationale de France,RES VM1-19,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
CRIM_Mass_0007_2.mei,Missa Je suis déshéritée: Gloria,Missa Je suis Déshéritée,Gloria,Nicolas Gombert,http://viaf.org/viaf/87113257,https://data.bnf.fr/ark:/12148/cb138945919,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0021,"Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée","Missa cum quatuor vocibus, ad imitationem cantionis le suis deshéritée, condita à D. Nicolao Gombert: Nunc primum in lucem edita.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, G 2976",Paris,Bibliothèque nationale de France,RES VM1-19,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College,,,
