CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_02,15,122,134,2,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_02,16,131,151,2,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_02,17,145,152,2,Amen.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,1,1,23,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,2,21,36,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,3,33,54,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,4,53,68,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,5,67,77,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,6,75,83,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,7,77,99,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,8,100,117,2,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,9,118,127,2,Et homo factus est.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,10,124,130,2,Crucifixus etiam pro nobis: ,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,11,130,147,2,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,12,148,161,3,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,13,161,166,3,Et ascendit in caelum:,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,14,165,172,3,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,15,171,188,3,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,16,187,193,3,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,17,191,198,3,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,18,199,203,3,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,19,203,210,3,"Qui cum Patre et Filio simul adoratur, et conglorificatur: ",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,20,206,215,3,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,21,215,228,3,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,22,229,242,4,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,23,240,248,4,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,24,246,258,4,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_03,25,254,261,4,Amen.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_04,1,1,41,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_04,2,42,78,2,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_04,3,79,114,3,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_04,4,115,163,4,Benedictus qui venit in nomine Domini.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_05,1,1,25,1,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_05,2,17,41,1,miserere nobis.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_05,3,42,63,2,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_05,4,55,75,2,miserere nobis.,,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_05,5,76,97,3,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0017,CRIM_Mass_0017_05,6,94,110,4,dona nobis pacem.,,,,,,,,
